pk_col,integer_col,number_col,boolean_col,date_col,string_col
47668a32db8b61e8cab6b340571ad604,554,898.1,False,2020-06-20,vfuTYjhLdrjvySzDdNlPNDftChamekxUjLNCcvUSZY YWNXfCtYXShODfvv
7e747b3e2917ac698ee3f4297acfea7a,88,171.6,True,2016-10-27,eVmEYVeJtPGlgoNr eWUJIQEV JznGyOzQXbsJGXgdbytmUOUxZ
567079b1ac1cdfabd7d83b8290b0552c,744,534.5,True,2011-07-06,kgeEjvVtxpaWB xQwdXIZARBaOICYdPBUFKPuYMvvirTKQvUMTaqTzlWvthgitunxSAVWzHHPTBURyQEAQkd
6c99e0382ff587de93cad408a9938da1,650,794.1,True,2014-04-16,JImjLuWucYEntzucbKCtcCukXZBrSfGWKPthJWRSDoL
3182340bf137bd21636954cb817a4b63,221,82.9,True,2003-08-20,d EkWSMecxMWoGCDBGOICpDcUmfQPQwVXSpBfHGaHOPFwxAfuQNQSsYfLOxjipVkKCfOUjEIVnglbvSxWwlcarI
5cc9bf25598fa7b940bbf4f404c02be9,250,451.0,False,2020-10-30,XeM cU cWKqMxcTiRqRrMbfVLRZPZSBZmSetjQQOGwLTlCYzqMX
c1a3c2049ef87a30630aaff2a142fb90,643,153.3,False,2006-09-28,bjWOOETlhwgsvsGPFORzUNmbdIxdGSBVLvMiEgiRsZIJrTtDluyxQaCmEZZTaze
73be0e31a0e8cd5ab27e12c35936ed00,708,364.8,True,2022-07-06,ModVQHePgPvBaMkEpv nyHvOIPLWMGTESOBuyiHDtc
7a382a2daf711e3634a5a5580d84e889,994,558.9,True,2015-01-24,WiE XxdrobpXIuXeZBiLmMopXZJnWYvJfX
8fb34a932b29b6a8528951a1ecc97db0,145,110.3,True,2013-08-23,xPtajyyGop FgyjcgVIrgzuLOoFVRUlCOzgmBiMzSGOvByWnpESmlrhYTEPqcVcNJmdcIlxkWWL dLO
2365c100ea01e51a08bc721684123c20,997,127.0,True,2016-02-04,poHCyRvBgmbMJdu vUEdNIuyUpdsgjFtssbdPnBeyGqwoGID
b1ea1a1d2cbd9de29604b1d12f974056,984,963.2,False,2011-11-24,PjwiIoLQxTMcfZwbMWkQNoTGwFmw
6d068b2e1abfd534e543b2f073aeb39a,293,835.4,False,2012-06-23,nFWCsVx
202009a77ed10ed629e3ed3f3090759f,383,401.5,False,2023-05-26,XkqhrytKmnEzwcByrvWusRSzCBXpGVakFcdNLDmtD RRLEwbQDpYGbVGVfEXStlDl L MEuCaIvJ
f8b833e1a1c8dc5843dedae0d1351c4f,421,577.0,False,2014-11-17,tIaXdTRcwKuJQducleyPJeo
b4e54a93846e1770d6e331cbf84d7003,830,953.6,False,2022-02-11,dzBZFKdvgPlzOQOeSnpoec gKfR lVWDfCtEaLxCudEAGtZmrl inDFWuWo
89f6452f733971feba41daf79b1077db,662,969.3,True,2014-07-01,nzEdWuLHcnWtMHlwDMDOsjBKzItdqpCQqgVBMlttlHL QbxlsUWHvgh ZfKUoNfOLJytiUutXgTeyAEn
f31cd4c8114b5b8b42d1903fc58c3630,414,519.2,False,2007-04-07,EYOjMJiTiNtjNvdzNESpaSMkcWHoJF
2143c30b3232f24a29b28cf52f418168,391,588.5,True,2024-11-04,RRAyQvhfTZNGxttjwIRlnKXLKzgSiYnVqjrghual
e649f4f8d78ac18caf05b4fe1643ba7a,304,266.3,True,2014-07-08,LEbcuWiJYHlTIgbfSDbJG jAwAAWMovLSLfTakYBfIiZmNjlsrDrNic
92c311319998ea65670ba6266664b35c,231,506.8,False,2023-08-26,sYCpsCLzDgmZhgNlbQOsA
95ba880900af2744612a982e8fa6543a,74,475.9,True,2014-01-23,ZOFyKoYTDSFilbovnaBHYdHHodYlAKgjQHXwX QLDw
5ad23ce7560816e3495a78d77845ad26,741,841.5,True,2024-09-04,HsgArNGDxsHsmFURcMKOXHa JxNXKtkk lbNkVqSCwrRGybXCBZSaekP
91bfd3bd467a5b06b4e1c1701af65177,721,848.2,False,2012-05-28,XKlzxwPkdhZa
18d125b481fb477da790eace3e0b2173,234,993.7,False,2021-11-13,jsfziQziaxmXZKNXYORpsU RFWLWrc
44cda7feb745f6c08956545897c38207,564,851.1,False,2014-04-21,sXkiuq nlCLaHo MFGocCcjmIfSEeNtHrQOnOmhAsgQ UsMBgLgMlacKvJrodNlhvxNRhVqqFQMMeiVNbYDsOPX
aae7aa54a207c387c8254f172fcbeff0,296,141.7,False,2000-01-24,zjJ
d91fcff6390a9d5f2b635ebe222d9edb,854,974.4,False,2002-04-17,doorrhRtlsWvHGVbDHf
7a33984b281d78dec4acfaba65621690,980,594.0,False,2001-04-18,iEPllGnR jntTSpKdkBZXJWOODvGzrBnEZHtiQiwYx
18d566d1832e9b892c3335b04e1bb97d,283,266.2,True,2002-11-24,EiPU ETbrg
d9130bca0d9e914ed6b3a91eb6849c60,770,579.5,False,2008-08-11,udI
32b2a7cdd97b2e1bb20f215d7e407346,825,245.4,False,2014-11-20,ZsxfmTc GlYEOG
